id,genre,parent_id
1,Alternative,771
2,Art Punk,1
3,Alternative Rock,1
4,Britpunk,1
5,College Rock,1
6,Crossover Thrash,1
7,Crust Punk,1
8,Emotional Hardcore,1
9,Experimental Rock,1
10,Folk Punk,1
11,Goth / Gothic Rock,1
12,Grunge,1
13,Hardcore Punk,1
14,Hard Rock,1
15,Indie Rock,1
16,Lo-fi,1
17,Musique Concrète,1
18,New Wave,1
19,Progressive Rock,1
20,Punk,1
21,Shoegaze,1
22,Steampunk,1
23,Anime,856
24,Blues,
25,Acoustic Blues,24
26,African Blues,24
27,Blues Rock,24
28,Blues Shouter,24
29,British Blues,24
30,Canadian Blues,24
31,Chicago Blues,24
32,Classic Blues,24
33,Classic Female Blues,24
34,Contemporary Blues,24
35,Contemporary R&B,24
36,Country Blues,24
37,Dark Blues,24
38,Delta Blues,24
39,Detroit Blues,24
40,Doom Blues,24
41,Electric Blues,24
42,Folk Blues,24
43,Gospel Blues,24
44,Harmonica Blues,24
45,Hill Country Blues,24
46,Hokum Blues,24
47,Jazz Blues,24
48,Jump Blues,24
49,Kansas City Blues,24
50,Louisiana Blues,24
51,Memphis Blues,24
52,Modern Blues,24
53,New Orlean Blues,24
54,NY Blues,24
55,Piano Blues,24
56,Piedmont Blues,24
57,Punk Blues,24
58,Ragtime Blues,24
59,Rhythm Blues,24
60,Soul Blues,24
61,St. Louis Blues,24
62,Soul Blues,24
63,Swamp Blues,24
64,Texas Blues,24
65,Urban Blues,24
66,Vandeville,24
67,West Coast Blues,24
68,Zydeco,24
69,Children's Music,984
70,Lullabies,69
71,Sing-Along,69
72,Stories,69
73,Classical & jazz,509
74,Avant-Garde,73
75,Ballet,73
76,Baroque,73
77,Cantata,73
78,Chamber Music,73
79,String Quartet,78
80,Chant,73
81,Choral,73
82,Classical Crossover,73
83,Concerto,73
84,Concerto Grosso,73
85,Contemporary Classical,73
86,Early Music,73
87,Expressionist,73
88,High Classical,73
89,Impressionist,73
90,Mass Requiem,73
91,Medieval,73
92,Minimalism,73
93,Modern Composition,73
94,Modern Classical,73
95,Opera,73
96,Oratorio,73
97,Orchestral,73
98,Organum,73
99,Renaissance,73
100,Romantic (early period),73
101,Romantic (later period),73
102,Sonata,73
103,Symphonic,73
104,Symphony,73
105,Twelve-tone,73
106,Wedding Music,73
107,Comedy,984
108,Novelty,107
109,Parody Music,107
110,Stand-up Comedy,107
111,Vaudeville,107
112,Commercial,984
113,Jingles,112
114,TV Themes,112
115,Country,
116,Alternative Country,115
117,Americana,115
118,Australian Country,115
119,Bakersfield Sound,115
120,Bluegrass,115
121,Progressive Bluegrass,120
122,Reactionary Bluegrass,120
123,Blues Country,115
124,Cajun Fiddle Tunes,115
125,Christian Country,115
126,Classic Country,115
127,Close Harmony,115
128,Contemporary Bluegrass,115
129,Contemporary Country,115
130,Country Gospel,115
131,Country Pop,115
132,Country Rap,115
133,Country Rock,115
134,Country Soul,115
135,Cowboy / Western,115
136,Cowpunk,115
137,Dansband,115
138,Honky Tonk,115
139,Franco-Country,115
140,Gulf and Western,115
141,Hellbilly Music,115
142,Honky Tonk,115
143,Instrumental Country,115
144,Lubbock Sound,115
145,Nashville Sound,115
146,Neotraditional Country,115
147,Outlaw Country,115
148,Progressive,115
149,Psychobilly / Punkabilly,115
150,Red Dirt,115
151,Sertanejo,115
152,Texas County,115
153,Traditional Bluegrass,115
154,Traditional Country,115
155,Truck-Driving Country,115
156,Urban Cowboy,115
157,Western Swing,115
158,Dance,676
159,Club / Club Dance,158
160,Breakcore,158
161,Breakbeat / Breakstep,158
162,4-Beat,161
163,Acid Breaks,161
164,Baltimore Club,161
165,Big Beat,161
166,Breakbeat Hardcore,161
167,Broken Beat,161
168,Florida Breaks,161
169,Nu Skool Breaks,161
170,Brostep,158
171,Chillstep,158
172,Deep House,158
173,Dubstep,158
174,Electro House,158
175,Electroswing,158
176,Exercise,158
177,Future Garage,158
178,Garage,158
179,Glitch Hop,158
180,Glitch Pop,158
181,Grime,158
182,Hardcore,158
183,Bouncy House,182
184,Bouncy Techno,182
185,Breakcore,182
186,Digital Hardcore,182
187,Doomcore,182
188,Dubstyle,182
189,Gabber,182
190,Happy Hardcore,182
191,Hardstyle,182
192,Jumpstyle,182
193,Makina,182
194,Speedcore,182
195,Terrorcore,182
196,Uk Hardcore,182
197,Hard Dance,158
198,Hi-NRG / Eurodance,158
199,Horrorcore,158
200,House,158
201,Acid House,200
202,Chicago House,200
203,Deep House,200
204,Diva House,200
205,Dutch House,200
206,Electro House,200
207,Freestyle House,200
208,French House,200
209,Funky House,200
210,Ghetto House,200
211,Hardbag,200
212,Hip House,200
213,Italo House,200
214,Latin House,200
215,Minimal House,200
216,Progressive House,200
217,Rave Music,200
218,Swing House,200
219,Tech House,200
220,Tribal House,200
221,Tropical House,200
222,UK Hard House,200
223,US Garage,200
224,Vocal House,200
225,Jackin House,158
226,Jungle / Drum’n’bass,158
227,Liquid Dub,158
228,Regstep,158
229,Speedcore,158
230,Techno,158
231,Acid Techno,230
232,Detroit Techno,230
233,Free Tekno,230
234,Ghettotech,230
235,Minimal,230
236,Nortec,230
237,Schranz,230
238,Techno-Dnb,230
239,Technopop,230
240,Tecno Brega,230
241,Toytown Techno,230
242,Trance,158
243,Acid Trance,242
244,Acid-House,242
245,Classic Trance,242
246,Dark Psy,242
247,Deep House,242
248,Dream Trance,242
249,Goa Trance,242
250,Dark Psytrance,249
251,Full on,249
252,Psybreaks,249
253,Psyprog,249
254,Suomisaundi,249
255,Hard Trance,242
256,Prog. Trance,242
257,Psy-Trance,242
258,Minimal Techno,242
259,Tech House,242
260,Tech Trance,242
261,Uplifting Trance,242
262,Orchestral Uplifting,261
263,Vocal Trance,242
264,Trap,158
265,Disney,676
266,Easy Listening,984
267,Background,266
268,Bop,266
269,Elevator,266
270,Furniture,266
271,Lounge,266
272,Middle of the Road,266
273,Swing,266
274,Electronic,
275,2-Step,274
276,8-bit,274
277,Albient,274
278,Ambient Dub,277
279,Ambient House,277
280,Ambient Techno,277
281,Dark Ambient,277
282,Drone Music,277
283,Illbient,277
284,Isolationism,277
285,Lowercase,277
286,Asian Underground,274
287,Bassline,274
288,Chillwave,274
289,Chiptune,274
290,Bitpop,289
291,Game Boy,289
292,Nintendocore,289
293,Video Game Music,289
294,Yorkshire Bleeps and Bass,289
295,Crunk,274
296,Downtempo,274
297,Acid Jazz,296
298,Balearic Beat,296
299,Chill Out,296
300,Dub Music,296
301,Dubtronica,296
302,Ethnic Electronica,296
303,Moombahton,296
304,Nu Jazz,296
305,Trip Hop,296
306,Drum & Bass,274
307,Darkcore,306
308,Darkstep,306
309,Drumfunk,306
310,Drumstep,306
311,Hardstep,306
312,Intelligent Drum and Bass,306
313,Jump-Up,306
314,Liquid Funk,306
315,Neurofunk,306
316,Oldschool Jungle,306
317,Darkside Jungle,316
